Respondent_ID,Question Type,Recoded Value
46,FF2.11,5.0
103,FF2.6,5.0
211,FF5,5.0
225,FF2.7,3.0
140,FF3.1,3.0
25,FF4.3,3.0
34,FF3.1,3.0
3,FF5,3.0
8,FF2.11,4.0
57,FF4.2,5.0
133,FF6,4.0
136,FF4.1,3.0
11,FF5,2.0
115,FF2,4.0
125,FF2,4.0
180,FF2.2,5.0
72,FF2.11,5.0
105,FF2.11,4.0
103,FF2.5,5.0
240,FF5.3,5.0
7,FF2.1,5.0
234,FF2.8,4.0
228,FF1.1,2.0
146,FF6.2,5.0
191,FF5.6,1.0
158,FF1.4,4.0
166,FF2.11,4.0
252,FF3.1,4.0
113,FF1.4,4.0
212,FF1,4.0
19,FF3,4.0
84,FF5.6,3.0
56,FF4.3,3.0
78,FF1.1,4.0
202,FF6.1,4.0
44,FF4.2,4.0
26,FF2.11,4.0
156,FF2.6,5.0
253,FF1.5,3.0
20,FF5.6,2.0
220,FF5.2,4.0
27,FF2.10,4.0
32,FF2.3,2.0
201,FF6.2,4.0
128,FF4.4,4.0
247,FF6.2,4.0
76,FF2,5.0
28,FF1.7,3.0
59,FF3.1,4.0
181,FF2.6,5.0
239,FF3.4,4.0
201,FF6.3,2.0
234,FF5.2,2.0
13,FF5.5,1.0
39,FF3.1,3.0
140,FF2.9,4.0
190,FF5.4,4.0
68,FF4.4,4.0
165,FF3.5,1.0
224,FF2.1,4.0
210,FF1.5,4.0
170,FF3.4,5.0
70,FF3.3,5.0
224,FF6.1,5.0
91,FF1.5,4.0
52,FF1.5,4.0
50,FF6.1,4.0
212,FF6,2.0
152,FF6,4.0
241,FF6,2.0
153,FF3.3,4.0
259,FF1.6,4.0
106,FF3.3,4.0
199,FF2,5.0
178,FF4.1,5.0
79,FF3.5,3.0
149,FF4.4,5.0
174,FF6.4,4.0
123,FF3.3,3.0
254,FF3.4,4.0
216,FF6.2,4.0
89,FF4.2,4.0
96,FF2.8,5.0
212,FF1.1,4.0
250,FF5.3,3.0
114,FF4,4.0
29,FF2.9,4.0
52,FF2.6,5.0
94,FF5.3,2.0
243,FF1.2,4.0
236,FF5.2,3.0
228,FF5.2,1.0
202,FF5.1,4.0
251,FF5.6,4.0
167,FF4.4,4.0
158,FF5.7,4.0
176,FF2.3,5.0
165,FF6,1.0
216,FF5,3.0
22,FF6.1,4.0
217,FF5,2.0
139,F,
14,FF5,2.0
189,FF2.2,5.0
29,FF2.6,5.0
246,FF3,4.0
135,FF1.1,5.0
10,FF3.3,5.0
72,FF6.4,5.0
264,FF3.1,3.0
179,FF5,2.0
72,F,
230,FF2.7,4.0
164,FF5.4,4.0
203,FF6.2,5.0
210,FF2,5.0
49,FF2.6,4.0
175,FF3.3,4.0
227,FF3.1,4.0
121,FF1.4,4.0
94,FF5,3.0
181,FF5.2,1.0
92,FF2.9,5.0
233,FF2.7,4.0
178,FF3.5,2.0
132,FF5.5,1.0
8,FF2,4.0
151,FF2.2,5.0
167,FF2.6,4.0
127,FF5.4,3.0
213,FF3.5,3.0
215,FF1,5.0
69,FF3,3.0
188,FF2.4,5.0
224,FF1.4,4.0
196,FF6,1.0
205,FF6,4.0
230,FF5.3,3.0
150,FF4.1,1.0
33,FF2,4.0
164,FF2.2,5.0
84,FF1.1,4.0
65,FF4,5.0
226,FF6.1,5.0
21,FF4.1,2.0
11,FF5.1,3.0
1,FF2.6,4.0
87,FF3.1,3.0
224,FF3.3,4.0
44,FF1.7,2.0
27,FF4.4,4.0
260,FF6.1,4.0
210,FF1.4,4.0
202,FF2.10,4.0
28,FF2.3,3.0
184,FF6.2,5.0
243,FF6.2,4.0
107,FF1.1,5.0
70,FF2.5,5.0
236,FF3.1,3.0
251,FF3.1,4.0
61,FF3,5.0
253,FF1.4,4.0
218,FF5.5,2.0
147,FF1.6,4.0
64,FF6,2.0
226,FF2.2,5.0
129,FF2.3,3.0
73,FF5.6,3.0
125,FF5.6,2.0
83,FF5.3,5.0
220,FF4.3,2.0
208,FF5.7,4.0
38,FF2.2,3.0
134,FF2.8,4.0
151,FF2.4,5.0
255,FF1.3,5.0
218,FF3,4.0
132,F,
208,FF3,4.0
126,FF2.4,4.0
93,FF2.5,5.0
1,FF4.2,4.0
103,FF5.6,1.0
206,FF5.6,2.0
220,FF2.10,5.0
24,FF3.1,2.0
107,FF3,3.0
255,FF3.4,4.0
238,FF3.2,3.0
6,FF3.5,2.0
54,FF1.1,5.0
107,FF1.2,4.0
225,FF3.1,3.0
175,FF4.4,4.0
213,FF5.7,5.0
136,FF5.2,1.0
78,FF4,4.0
48,FF2.2,4.0
82,FF1.3,4.0
184,FF1.3,5.0
151,FF1,5.0
106,FF2.2,4.0
93,FF1.5,5.0
70,FF5.5,1.0
150,FF1.7,5.0
16,FF5.3,4.0
109,FF6.4,4.0
203,FF2.7,5.0
84,FF2.4,4.0
225,FF3.3,3.0
230,FF2,5.0
214,FF5.2,2.0
202,FF5.6,2.0
9,FF5.1,4.0
233,FF6.2,5.0
149,FF6.3,1.0
249,FF2.11,4.0
176,FF1.2,5.0
49,FF5.7,4.0
54,FF2.7,5.0
214,FF2.11,4.0
225,FF2.1,4.0
240,FF1.1,5.0
174,FF2.4,4.0
252,FF4,4.0
7,F,
81,FF5.7,5.0
4,FF1,4.0
61,FF6,3.0
34,FF5,4.0
126,FF2,4.0
57,FF2,5.0
244,FF2.1,5.0
36,FF1.2,4.0
59,FF5.5,2.0
2,FF3.4,4.0
162,FF1.7,4.0
23,FF1.7,3.0
24,FF6.1,5.0
177,FF2.6,5.0
73,FF2.11,5.0
155,FF4.1,4.0
75,FF1,3.0
145,FF2.4,4.0
125,FF6.2,4.0
261,F,
